Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,5,1,5.0,30,34,66,0
1,10,4,2.5,63,65,106,0
2,5,1,5.0,30,25,30,0
3,3,2,1.5,19,18,31,0
4,7,0,inf,41,33,41,0
5,5,1,5.0,30,34,58,0
6,5,1,5.0,30,34,42,0
7,7,0,inf,41,42,57,0
8,3,0,inf,17,16,31,0
9,4,0,inf,23,16,24,0
10,6,2,3.0,37,38,59,0
11,4,0,inf,23,21,29,0
12,5,3,1.6666666666666667,32,36,78,0
13,4,1,4.0,24,28,37,0
14,4,0,inf,23,24,27,0
15,5,3,1.6666666666666667,32,36,61,0
16,6,0,inf,35,34,54,0
17,6,1,6.0,36,34,67,0
18,8,2,4.0,49,43,90,0
19,6,1,6.0,36,32,57,0
20,5,1,5.0,30,34,108,0
21,7,5,1.4,46,47,91,0
22,5,0,inf,29,26,35,0
23,4,2,2.0,25,29,45,0
24,2,1,2.0,12,12,17,0
25,2,1,2.0,12,16,33,0
26,3,0,inf,17,17,24,0
27,5,2,2.5,31,35,85,0
28,2,0,inf,11,6,10,0
29,5,0,inf,29,33,37,0
30,5,2,2.5,31,35,66,0
31,4,3,1.3333333333333333,26,30,82,0
32,6,2,3.0,37,35,64,0
33,6,0,inf,35,32,53,0
34,9,3,3.0,56,51,85,0
35,8,1,8.0,48,44,79,0
36,1,1,1.0,6,6,10,0
37,1,0,inf,5,5,10,0
38,5,2,2.5,31,35,86,0
39,5,0,inf,29,31,47,0
40,5,0,inf,29,23,37,0
41,4,2,2.0,25,29,44,0
42,7,0,inf,41,42,66,0
43,5,2,2.5,31,35,53,0
44,4,1,4.0,24,28,51,0
45,2,1,2.0,12,15,24,0
46,1,1,1.0,6,10,55,0
47,4,1,4.0,24,28,60,0
48,6,1,6.0,36,40,51,0
49,6,1,6.0,36,40,65,0
50,7,2,3.5,43,47,52,0
51,5,0,inf,29,32,66,0
52,5,1,5.0,30,34,80,0
53,4,1,4.0,24,28,32,0
54,3,0,inf,17,21,31,0
55,6,4,1.5,39,40,59,0
56,6,6,1.0,41,45,87,0
57,6,0,inf,35,32,66,0
58,6,1,6.0,36,40,53,0
59,3,0,inf,17,20,32,0
60,7,1,7.0,42,44,54,0
61,3,1,3.0,18,22,42,0
62,7,6,1.1666666666666667,47,51,129,0
63,6,0,inf,35,21,25,0
64,8,2,4.0,49,47,82,0
65,4,0,inf,23,26,38,0
66,7,0,inf,41,43,77,0
67,3,0,inf,17,15,19,0
68,8,0,inf,47,41,49,0
69,7,0,inf,41,45,82,0
70,2,1,2.0,12,10,24,0
71,6,2,3.0,37,41,110,0
72,5,3,1.6666666666666667,32,36,129,0
73,3,0,inf,17,19,29,0
74,7,0,inf,41,45,73,0
75,3,0,inf,17,16,20,0
76,4,0,inf,23,27,56,0
77,5,1,5.0,30,34,46,0
78,5,1,5.0,30,34,61,0
79,3,1,3.0,18,20,37,0
80,4,0,inf,23,21,29,0
81,6,2,3.0,37,41,85,0
82,4,4,1.0,27,30,32,0
83,5,1,5.0,30,34,69,0
84,6,2,3.0,37,37,74,0
85,3,0,inf,17,21,36,0
86,1,0,inf,5,5,10,0
87,9,0,inf,53,53,108,0
88,4,2,2.0,25,29,72,0
89,6,1,6.0,36,40,77,0
90,4,3,1.3333333333333333,26,30,43,0
91,3,0,inf,17,20,30,0
92,3,1,3.0,18,22,38,0
93,3,0,inf,17,11,19,0
94,4,2,2.0,25,25,28,0
95,9,4,2.25,57,61,122,0
96,8,3,2.6666666666666665,50,53,119,0
97,4,0,inf,23,27,42,0
98,4,0,inf,23,27,39,0
99,8,1,8.0,48,51,69,0
