Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,5,1,5.0,100,62,65,0
1,3,1,3.0,60,50,55,0
2,3,1,3.0,60,46,52,0
3,4,1,4.0,80,39,42,0
4,4,0,inf,79,15,20,0
5,4,1,4.0,80,42,44,0
6,5,0,inf,99,50,56,0
7,2,0,inf,39,13,15,0
8,5,2,2.5,101,46,46,0
9,3,0,inf,59,13,17,0
10,3,0,inf,59,24,29,0
11,3,0,inf,59,16,16,0
12,6,1,6.0,120,56,56,0
13,4,0,inf,79,29,35,0
14,5,0,inf,99,60,61,0
15,4,1,4.0,80,34,37,0
16,4,1,4.0,80,31,35,0
17,4,0,inf,79,51,56,0
18,2,0,inf,39,25,26,0
19,5,0,inf,99,77,86,0
20,4,1,4.0,80,34,42,0
21,3,0,inf,59,13,15,0
22,5,2,2.5,101,61,63,0
23,3,0,inf,59,46,50,0
24,3,0,inf,59,17,18,0
25,4,0,inf,79,21,24,0
26,3,0,inf,59,18,23,0
27,4,1,4.0,80,21,23,0
28,3,0,inf,59,26,26,0
29,4,1,4.0,80,34,41,0
30,3,0,inf,59,47,52,0
31,4,0,inf,79,21,24,0
32,2,0,inf,39,15,19,0
33,6,0,inf,119,54,56,0
34,4,1,4.0,80,24,33,0
35,3,0,inf,59,25,25,0
36,4,1,4.0,80,24,29,0
37,2,0,inf,39,14,18,0
38,6,1,6.0,120,74,80,0
39,5,0,inf,99,34,42,0
40,5,1,5.0,100,36,43,0
41,4,2,2.0,81,47,52,0
42,7,0,inf,139,64,70,0
43,2,1,2.0,40,30,37,0
44,4,0,inf,79,40,51,0
45,3,0,inf,59,39,46,0
46,5,0,inf,99,55,59,0
47,3,2,1.5,61,58,74,0
48,5,1,5.0,100,38,42,0
49,2,1,2.0,40,30,34,0
50,3,0,inf,59,19,25,0
51,3,1,3.0,60,47,52,0
52,6,2,3.0,121,49,54,0
53,2,0,inf,39,12,15,0
54,4,0,inf,79,29,31,0
55,5,0,inf,99,46,52,0
56,4,0,inf,79,42,47,0
57,1,0,inf,19,5,10,0
58,3,1,3.0,60,40,65,0
59,1,0,inf,19,3,9,0
60,2,0,inf,39,13,17,0
61,7,3,2.3333333333333335,142,67,73,0
62,3,0,inf,59,25,29,0
63,2,1,2.0,40,14,19,0
64,7,0,inf,139,36,42,0
65,3,0,inf,59,34,40,0
66,4,0,inf,79,43,46,0
67,6,0,inf,119,60,67,0
68,4,0,inf,79,36,45,0
69,6,1,6.0,120,37,41,0
70,3,0,inf,59,31,39,0
71,2,0,inf,39,21,26,0
72,2,0,inf,39,13,17,0
73,5,0,inf,99,52,56,0
74,5,0,inf,99,53,60,0
75,1,1,1.0,20,24,32,0
76,2,0,inf,39,15,19,0
77,3,0,inf,59,39,42,0
78,2,0,inf,39,22,27,0
79,6,0,inf,119,41,48,0
80,2,0,inf,39,12,17,0
81,4,0,inf,79,18,23,0
82,6,0,inf,119,37,44,0
83,0,0,0.0,0,3,101,1
84,7,1,7.0,140,67,73,0
85,3,2,1.5,61,35,41,0
86,3,0,inf,59,16,20,0
87,3,0,inf,59,31,38,0
88,4,0,inf,79,53,67,0
89,2,0,inf,39,21,25,0
90,1,0,inf,19,3,9,0
91,3,0,inf,59,37,44,0
92,4,1,4.0,80,78,81,0
93,3,0,inf,59,28,36,0
94,4,0,inf,79,39,45,0
95,3,0,inf,59,35,41,0
96,4,1,4.0,80,40,43,0
97,4,1,4.0,80,46,51,0
98,4,0,inf,79,27,30,0
99,3,2,1.5,61,40,46,0
