Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,3,1,3.0,21,23,26,0
1,6,3,2.0,44,48,103,0
2,7,3,2.3333333333333335,51,50,63,0
3,6,2,3.0,43,47,107,0
4,5,2,2.5,36,38,54,0
5,4,0,inf,27,31,52,0
6,2,1,2.0,14,12,18,0
7,7,0,inf,48,37,39,0
8,9,3,3.0,65,69,93,0
9,3,1,3.0,21,22,28,0
10,4,1,4.0,28,28,41,0
11,5,0,inf,34,32,52,0
12,3,0,inf,20,11,13,0
13,6,2,3.0,43,47,76,0
14,3,3,1.0,23,27,36,0
15,7,1,7.0,49,50,98,0
16,1,1,1.0,7,8,12,0
17,5,0,inf,34,37,54,0
18,3,1,3.0,21,23,27,0
19,4,1,4.0,28,31,41,0
20,2,0,inf,13,15,17,0
21,2,0,inf,13,13,25,0
22,4,0,inf,27,31,60,0
23,8,3,2.6666666666666665,58,62,112,0
24,8,0,inf,55,57,81,0
25,7,2,3.5,50,46,77,0
26,4,1,4.0,28,32,54,0
27,8,0,inf,55,59,111,0
28,4,4,1.0,31,35,85,0
29,2,0,inf,13,17,37,0
30,4,0,inf,27,21,30,0
31,6,2,3.0,43,39,74,0
32,6,1,6.0,42,43,50,0
33,3,0,inf,20,24,34,0
34,4,0,inf,27,28,45,0
35,2,1,2.0,14,18,21,0
36,3,0,inf,20,24,30,0
37,5,1,5.0,35,35,50,0
38,4,0,inf,27,31,46,0
39,6,0,inf,41,40,66,0
40,7,0,inf,48,43,49,0
41,4,1,4.0,28,21,34,0
42,4,1,4.0,28,20,28,0
43,10,3,3.3333333333333335,72,68,99,0
44,4,0,inf,27,31,59,0
45,1,0,inf,6,5,10,0
46,3,0,inf,20,24,36,0
47,4,0,inf,27,31,84,0
48,4,0,inf,27,20,27,0
49,7,0,inf,48,45,89,0
50,4,0,inf,27,24,38,0
51,5,1,5.0,35,30,34,0
52,2,0,inf,13,17,34,0
53,5,1,5.0,35,27,44,0
54,3,0,inf,20,22,42,0
55,6,1,6.0,42,46,78,0
56,3,1,3.0,21,25,48,0
57,7,0,inf,48,48,57,0
58,10,0,inf,69,73,108,0
59,3,0,inf,20,18,28,0
60,4,2,2.0,29,33,59,0
61,3,1,3.0,21,25,33,0
62,6,0,inf,41,39,54,0
63,6,3,2.0,44,48,107,0
64,7,1,7.0,49,53,92,0
65,4,0,inf,27,26,33,0
66,1,0,inf,6,10,14,0
67,3,0,inf,20,18,21,0
68,5,1,5.0,35,23,28,0
69,5,1,5.0,35,37,51,0
70,5,0,inf,34,38,68,0
71,4,0,inf,27,30,36,0
72,6,0,inf,41,34,45,0
73,5,1,5.0,35,39,48,0
74,3,2,1.5,22,26,53,0
75,4,1,4.0,28,32,46,0
76,5,4,1.25,38,42,79,0
77,6,0,inf,41,45,60,0
78,5,0,inf,34,38,61,0
79,6,2,3.0,43,41,63,0
80,7,0,inf,48,37,48,0
81,2,0,inf,13,17,24,0
82,5,0,inf,34,27,35,0
83,7,3,2.3333333333333335,51,55,72,0
84,5,2,2.5,36,38,49,0
85,4,1,4.0,28,32,55,0
86,3,0,inf,20,19,24,0
87,5,0,inf,34,38,54,0
88,4,1,4.0,28,28,42,0
89,5,0,inf,34,35,41,0
90,2,0,inf,13,17,23,0
91,6,0,inf,41,30,36,0
92,5,2,2.5,36,32,48,0
93,4,1,4.0,28,29,40,0
94,7,0,inf,48,46,47,0
95,5,0,inf,34,38,64,0
96,3,1,3.0,21,24,39,0
97,1,0,inf,6,6,14,0
98,2,0,inf,13,17,25,0
99,4,0,inf,27,31,68,0
