Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,6,0,inf,23,24,91,0
1,5,0,inf,19,23,45,0
2,14,3,4.666666666666667,58,61,98,0
3,6,3,2.0,26,30,123,0
4,4,0,inf,15,19,37,0
5,5,4,1.25,23,27,94,0
6,7,2,3.5,29,33,98,0
7,7,6,1.1666666666666667,33,37,101,0
8,5,3,1.6666666666666667,22,24,170,0
9,5,0,inf,19,23,46,0
10,6,2,3.0,25,29,85,0
11,8,6,1.3333333333333333,37,41,116,0
12,8,4,2.0,35,39,119,0
13,6,4,1.5,27,31,63,0
14,7,4,1.75,31,35,69,0
15,3,3,1.0,14,18,50,0
16,9,3,3.0,38,42,104,0
17,6,3,2.0,26,30,64,0
18,7,2,3.5,29,33,73,0
19,7,0,inf,27,31,48,0
20,6,0,inf,23,25,39,0
21,9,1,9.0,36,40,83,0
22,5,0,inf,19,15,37,0
23,5,2,2.5,21,25,43,0
24,6,1,6.0,24,28,86,0
25,6,1,6.0,24,28,88,0
26,9,3,3.0,38,41,132,0
27,9,3,3.0,38,42,113,0
28,7,3,2.3333333333333335,30,34,69,0
29,3,3,1.0,14,16,27,0
30,4,1,4.0,16,20,28,0
31,7,1,7.0,28,32,147,0
32,4,0,inf,15,19,42,0
33,8,2,4.0,33,37,96,0
34,8,1,8.0,32,35,97,0
35,9,5,1.8,40,44,160,0
36,4,3,1.3333333333333333,18,22,50,0
37,3,1,3.0,12,16,26,0
38,5,3,1.6666666666666667,22,26,88,0
39,11,8,1.375,51,55,147,0
40,4,0,inf,15,19,42,0
41,8,1,8.0,32,33,88,0
42,5,0,inf,19,21,53,0
43,5,2,2.5,21,25,73,0
44,9,3,3.0,38,42,122,0
45,4,1,4.0,16,20,47,0
46,8,1,8.0,32,34,73,0
47,7,4,1.75,31,35,88,0
48,6,3,2.0,26,30,76,0
49,7,3,2.3333333333333335,30,34,111,0
50,11,2,5.5,45,49,120,0
51,3,0,inf,11,15,37,0
52,3,0,inf,11,15,42,0
53,7,2,3.5,29,33,62,0
54,8,5,1.6,36,40,91,0
55,2,0,inf,7,11,18,0
56,8,3,2.6666666666666665,34,38,87,0
57,9,1,9.0,36,40,101,0
58,6,0,inf,23,23,38,0
59,5,1,5.0,20,24,44,0
60,7,4,1.75,31,35,113,0
61,6,2,3.0,25,29,86,0
62,3,1,3.0,12,16,44,0
63,3,3,1.0,14,18,45,0
64,4,2,2.0,17,20,59,0
65,2,1,2.0,8,10,22,0
66,4,1,4.0,16,20,53,0
67,5,1,5.0,20,22,47,0
68,6,3,2.0,26,30,55,0
69,2,1,2.0,8,12,25,0
70,4,3,1.3333333333333333,18,22,92,0
71,9,3,3.0,38,39,80,0
72,11,3,3.6666666666666665,46,50,167,0
73,6,2,3.0,25,29,75,0
74,5,2,2.5,21,25,87,0
75,5,1,5.0,20,23,60,0
76,7,1,7.0,28,32,63,0
77,5,1,5.0,20,23,58,0
78,5,1,5.0,20,24,77,0
79,8,1,8.0,32,36,85,0
80,4,1,4.0,16,17,23,0
81,3,0,inf,11,15,26,0
82,7,0,inf,27,29,66,0
83,2,0,inf,7,11,25,0
84,9,2,4.5,37,41,103,0
85,5,4,1.25,23,27,67,0
86,7,3,2.3333333333333335,30,34,81,0
87,6,2,3.0,25,29,98,0
88,5,2,2.5,21,25,54,0
89,4,4,1.0,19,20,39,0
90,8,4,2.0,35,39,121,0
91,8,0,inf,31,33,71,0
92,2,1,2.0,8,12,28,0
93,8,0,inf,31,35,68,0
94,4,2,2.0,17,19,56,0
95,3,2,1.5,13,17,41,0
96,4,0,inf,15,19,33,0
97,9,7,1.2857142857142858,42,45,159,0
98,13,1,13.0,52,56,148,0
99,5,2,2.5,21,25,63,0
