Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,2,0,inf,15,13,27,0
1,5,2,2.5,41,45,92,0
2,5,1,5.0,40,44,83,0
3,7,2,3.5,57,53,56,0
4,4,1,4.0,32,36,47,0
5,4,0,inf,31,35,59,0
6,3,0,inf,23,17,21,0
7,3,0,inf,23,24,34,0
8,4,0,inf,31,35,45,0
9,4,1,4.0,32,36,80,0
10,6,1,6.0,48,52,68,0
11,5,0,inf,39,38,47,0
12,4,1,4.0,32,31,57,0
13,6,0,inf,47,44,70,0
14,2,1,2.0,16,17,24,0
15,5,0,inf,39,35,42,0
16,2,1,2.0,16,20,23,0
17,4,0,inf,31,35,68,0
18,5,0,inf,39,38,59,0
19,4,3,1.3333333333333333,34,38,73,0
20,6,0,inf,47,47,53,0
21,3,1,3.0,24,26,46,0
22,3,0,inf,23,26,33,0
23,6,0,inf,47,44,46,0
24,5,3,1.6666666666666667,42,44,77,0
25,3,1,3.0,24,26,48,0
26,2,1,2.0,16,20,31,0
27,1,0,inf,7,7,11,0
28,3,1,3.0,24,23,50,0
29,6,0,inf,47,39,43,0
30,3,0,inf,23,25,39,0
31,6,0,inf,47,51,64,0
32,5,0,inf,39,41,46,0
33,3,0,inf,23,20,36,0
34,3,0,inf,23,22,27,0
35,4,1,4.0,32,36,85,0
36,6,1,6.0,48,45,64,0
37,4,0,inf,31,27,40,0
38,3,0,inf,23,26,44,0
39,1,0,inf,7,11,23,0
40,5,1,5.0,40,44,58,0
41,4,0,inf,31,25,27,0
42,4,0,inf,31,16,22,0
43,8,0,inf,63,47,52,0
44,5,2,2.5,41,39,88,0
45,4,0,inf,31,31,39,0
46,6,0,inf,47,41,49,0
47,6,0,inf,47,39,74,0
48,3,0,inf,23,26,45,0
49,3,1,3.0,24,17,22,0
50,5,1,5.0,40,38,39,0
51,7,1,7.0,56,60,97,0
52,5,1,5.0,40,44,62,0
53,5,1,5.0,40,43,53,0
54,3,0,inf,23,19,21,0
55,3,0,inf,23,24,35,0
56,3,0,inf,23,20,26,0
57,7,1,7.0,56,60,65,0
58,3,0,inf,23,14,15,0
59,3,0,inf,23,27,30,0
60,8,1,8.0,64,58,66,0
61,3,0,inf,23,26,34,0
62,3,2,1.5,25,24,37,0
63,4,0,inf,31,35,41,0
64,5,2,2.5,41,34,84,0
65,3,1,3.0,24,16,19,0
66,3,0,inf,23,27,42,0
67,2,1,2.0,16,17,28,0
68,4,2,2.0,33,37,56,0
69,5,0,inf,39,43,76,0
70,7,2,3.5,57,45,57,0
71,4,0,inf,31,35,41,0
72,3,1,3.0,24,24,26,0
73,3,1,3.0,24,27,37,0
74,3,1,3.0,24,28,36,0
75,2,0,inf,15,14,28,0
76,3,0,inf,23,27,36,0
77,6,0,inf,47,49,62,0
78,1,0,inf,7,5,10,0
79,3,1,3.0,24,28,39,0
80,5,0,inf,39,43,65,0
81,6,0,inf,47,46,65,0
82,4,0,inf,31,31,40,0
83,4,0,inf,31,34,39,0
84,3,1,3.0,24,18,23,0
85,3,2,1.5,25,29,79,0
86,1,0,inf,7,7,15,0
87,5,0,inf,39,35,47,0
88,5,0,inf,39,34,58,0
89,4,0,inf,31,30,41,0
90,6,0,inf,47,43,50,0
91,5,0,inf,39,43,68,0
92,3,0,inf,23,27,30,0
93,7,1,7.0,56,58,69,0
94,6,0,inf,47,51,80,0
95,7,1,7.0,56,60,90,0
96,4,0,inf,31,24,28,0
97,3,0,inf,23,22,26,0
98,3,1,3.0,24,28,34,0
99,4,1,4.0,32,28,32,0
