Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,6,0,inf,29,33,41,0
1,5,0,inf,24,28,39,0
2,4,0,inf,19,23,36,0
3,6,0,inf,29,33,51,0
4,5,2,2.5,26,30,47,0
5,5,1,5.0,25,29,53,0
6,4,1,4.0,20,24,63,0
7,3,0,inf,14,16,40,0
8,3,0,inf,14,16,27,0
9,7,1,7.0,35,39,76,0
10,6,0,inf,29,33,51,0
11,5,1,5.0,25,27,64,0
12,3,1,3.0,15,14,25,0
13,7,2,3.5,36,40,93,0
14,7,0,inf,34,37,62,0
15,4,2,2.0,21,25,48,0
16,1,0,inf,4,8,13,0
17,6,0,inf,29,33,104,0
18,3,1,3.0,15,19,30,0
19,8,2,4.0,41,44,84,0
20,5,1,5.0,25,29,64,0
21,6,0,inf,29,33,51,0
22,5,1,5.0,25,27,35,0
23,4,2,2.0,21,25,48,0
24,2,0,inf,9,11,22,0
25,1,0,inf,4,4,11,0
26,5,0,inf,24,28,61,0
27,7,4,1.75,38,42,105,0
28,7,2,3.5,36,38,93,0
29,3,1,3.0,15,17,22,0
30,7,1,7.0,35,35,96,0
31,7,0,inf,34,33,52,0
32,8,0,inf,39,43,80,0
33,4,0,inf,19,23,40,0
34,7,2,3.5,36,38,73,0
35,3,1,3.0,15,16,36,0
36,4,1,4.0,20,23,46,0
37,3,0,inf,14,15,37,0
38,2,0,inf,9,13,24,0
39,2,0,inf,9,9,21,0
40,6,0,inf,29,28,58,0
41,3,0,inf,14,17,27,0
42,3,0,inf,14,18,36,0
43,11,0,inf,54,58,105,0
44,0,0,0.0,0,3,101,1
45,6,0,inf,29,27,39,0
46,8,1,8.0,40,43,79,0
47,4,3,1.3333333333333333,22,26,42,0
48,4,0,inf,20,23,136,1
49,2,0,inf,9,10,19,0
50,6,1,6.0,30,34,54,0
51,5,2,2.5,26,30,44,0
52,4,0,inf,19,23,29,0
53,4,0,inf,19,20,42,0
54,11,1,11.0,55,52,103,0
55,9,4,2.25,48,49,63,0
56,2,1,2.0,10,14,28,0
57,5,1,5.0,25,29,82,0
58,5,1,5.0,25,29,50,0
59,9,2,4.5,46,50,117,0
60,6,0,inf,29,33,71,0
61,7,1,7.0,35,39,66,0
62,6,1,6.0,30,34,74,0
63,6,1,6.0,30,30,51,0
64,5,0,inf,24,28,70,0
65,3,1,3.0,15,19,37,0
66,6,0,inf,29,29,38,0
67,8,1,8.0,40,44,74,0
68,8,1,8.0,40,40,60,0
69,4,2,2.0,21,25,82,0
70,4,0,inf,19,23,52,0
71,7,0,inf,34,38,43,0
72,5,1,5.0,25,25,34,0
73,5,0,inf,24,28,64,0
74,3,0,inf,14,18,28,0
75,1,0,inf,4,8,14,0
76,12,2,6.0,61,64,107,0
77,5,1,5.0,25,24,43,0
78,11,6,1.8333333333333333,60,57,117,0
79,7,0,inf,34,38,83,0
80,3,2,1.5,16,19,27,0
81,7,1,7.0,35,39,64,0
82,5,0,inf,24,28,49,0
83,6,0,inf,29,30,54,0
84,5,0,inf,24,28,38,0
85,4,1,4.0,20,24,48,0
86,8,0,inf,39,39,99,0
87,5,1,5.0,25,29,41,0
88,10,1,10.0,50,47,66,0
89,5,0,inf,24,28,54,0
90,10,2,5.0,51,46,75,0
91,7,2,3.5,36,40,49,0
92,4,3,1.3333333333333333,22,26,58,0
93,6,1,6.0,30,30,66,0
94,10,0,inf,49,53,75,0
95,12,2,6.0,61,60,91,0
96,4,0,inf,19,22,33,0
97,6,2,3.0,31,35,91,0
98,6,0,inf,29,33,75,0
99,4,1,4.0,20,19,33,0
