Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,3,6,0.5,11,9,62,0
1,0,0,0.0,-1,3,101,0
2,1,8,0.125,9,11,65,0
3,4,7,0.5714285714285714,14,10,55,0
4,6,8,0.75,19,11,94,0
5,4,3,1.3333333333333333,10,6,126,0
6,13,14,0.9285714285714286,39,17,283,0
7,7,9,0.7777777777777778,22,12,139,0
8,8,12,0.6666666666666666,27,15,195,0
9,4,5,0.8,12,8,146,0
10,42,12,3.5,95,15,556,0
11,3,6,0.5,11,9,204,0
12,16,9,1.7777777777777777,40,12,291,0
13,6,6,1.0,17,9,97,0
14,1,7,0.14285714285714285,8,10,78,0
15,0,1,0.0,0,4,109,0
16,7,6,1.1666666666666667,19,9,220,0
17,7,5,1.4,18,8,211,0
18,3,3,1.0,8,6,157,0
19,12,5,2.4,28,8,136,0
20,13,10,1.3,35,13,175,0
21,6,7,0.8571428571428571,18,10,97,0
22,13,13,1.0,38,16,239,0
23,3,5,0.6,10,8,84,0
24,33,10,3.3,75,13,411,0
25,14,7,2.0,34,10,283,0
26,5,4,1.25,13,7,189,0
27,1,0,inf,1,3,105,0
28,1,1,1.0,2,4,20,0
29,5,8,0.625,17,11,156,0
30,2,6,0.3333333333333333,9,9,66,0
31,23,9,2.5555555555555554,54,12,310,0
32,5,6,0.8333333333333334,15,9,98,0
33,6,7,0.8571428571428571,18,10,77,0
34,12,10,1.2,33,13,233,0
35,41,14,2.9285714285714284,95,17,733,0
36,3,0,inf,5,3,123,0
37,8,14,0.5714285714285714,29,17,196,0
38,4,5,0.8,12,8,72,0
39,8,5,1.6,20,8,131,0
40,12,3,4.0,26,6,120,0
41,6,8,0.75,19,11,155,0
42,12,13,0.9230769230769231,36,16,212,0
43,2,1,2.0,4,4,26,0
44,4,2,2.0,9,5,157,0
45,5,3,1.6666666666666667,12,6,55,0
46,6,5,1.2,16,8,94,0
47,8,8,1.0,23,11,138,0
48,7,2,3.5,15,5,69,0
49,11,7,1.5714285714285714,28,10,192,0
50,9,5,1.8,22,8,91,0
51,0,3,0.0,2,6,36,0
52,7,14,0.5,27,17,218,0
53,5,8,0.625,17,11,93,0
54,14,9,1.5555555555555556,36,12,213,0
55,10,8,1.25,27,11,119,0
56,5,5,1.0,14,8,100,0
57,3,1,3.0,6,4,131,0
58,19,14,1.3571428571428572,51,17,344,0
59,2,8,0.25,11,11,106,0
60,2,9,0.2222222222222222,12,12,196,0
61,20,11,1.8181818181818181,50,14,287,0
62,8,7,1.1428571428571428,22,10,165,0
63,13,13,1.0,38,16,242,0
64,10,4,2.5,23,7,225,0
65,14,3,4.666666666666667,30,6,188,0
66,19,14,1.3571428571428572,51,17,285,0
67,17,13,1.3076923076923077,46,16,376,0
68,1,10,0.1,11,13,64,0
69,13,8,1.625,33,11,185,0
70,17,12,1.4166666666666667,45,15,269,0
71,19,9,2.111111111111111,46,12,346,0
72,9,6,1.5,23,9,112,0
73,19,2,9.5,39,5,255,0
74,10,12,0.8333333333333334,31,15,183,0
75,1,2,0.5,3,5,21,0
76,5,6,0.8333333333333334,15,9,72,0
77,7,8,0.875,21,11,146,0
78,6,11,0.5454545454545454,22,14,109,0
79,19,14,1.3571428571428572,51,17,351,0
80,8,2,4.0,17,5,92,0
81,7,4,1.75,17,7,109,0
82,17,6,2.8333333333333335,39,9,344,0
83,2,7,0.2857142857142857,10,10,95,0
84,10,8,1.25,27,11,150,0
85,2,5,0.4,8,8,152,0
86,9,5,1.8,22,8,147,0
87,17,10,1.7,43,13,283,0
88,15,5,3.0,34,8,188,0
89,7,7,1.0,20,10,178,0
90,5,5,1.0,14,8,75,0
91,12,9,1.3333333333333333,32,12,304,0
92,8,9,0.8888888888888888,24,12,173,0
93,4,2,2.0,9,5,147,0
94,9,18,0.5,35,21,256,0
95,3,5,0.6,10,8,78,0
96,5,5,1.0,14,8,84,0
97,7,4,1.75,17,7,178,0
98,19,10,1.9,47,13,239,0
99,1,1,1.0,2,4,115,0
100,19,4,4.75,41,7,152,0
101,22,8,2.75,51,11,250,0
102,4,10,0.4,17,13,98,0
103,0,4,0.0,3,7,172,0
104,7,6,1.1666666666666667,19,9,124,0
105,9,20,0.45,37,23,258,0
106,4,12,0.3333333333333333,19,15,104,0
107,6,3,2.0,14,6,73,0
108,11,15,0.7333333333333333,36,18,251,0
109,5,10,0.5,19,13,194,0
110,1,3,0.3333333333333333,4,6,123,0
111,6,4,1.5,15,7,119,0
112,8,5,1.6,20,8,218,0
113,0,0,0.0,-1,3,101,0
114,8,7,1.1428571428571428,22,10,124,0
115,0,2,0.0,1,5,31,0
116,6,7,0.8571428571428571,18,10,89,0
117,7,13,0.5384615384615384,26,16,211,0
118,3,4,0.75,9,7,51,0
119,20,3,6.666666666666667,42,6,324,0
120,3,4,0.75,9,7,56,0
121,3,4,0.75,9,7,91,0
122,8,8,1.0,23,11,136,0
123,27,13,2.076923076923077,66,16,352,0
124,9,12,0.75,29,15,207,0
125,1,0,inf,1,3,102,0
126,5,7,0.7142857142857143,16,10,97,0
127,31,12,2.5833333333333335,73,15,566,0
128,2,1,2.0,4,4,129,0
129,7,16,0.4375,29,19,254,0
130,31,8,3.875,69,11,389,0
131,7,3,2.3333333333333335,16,6,115,0
132,9,5,1.8,22,8,241,0
133,13,17,0.7647058823529411,42,20,313,0
134,4,2,2.0,9,5,37,0
135,16,13,1.2307692307692308,44,16,241,0
136,5,24,0.20833333333333334,33,27,369,0
137,30,10,3.0,69,13,356,0
138,10,8,1.25,27,11,136,0
139,12,9,1.3333333333333333,32,12,206,0
140,17,6,2.8333333333333335,39,9,248,0
141,0,6,0.0,5,9,46,0
142,1,1,1.0,2,4,32,0
143,5,10,0.5,19,13,177,0
144,5,8,0.625,17,11,163,0
145,5,4,1.25,13,7,165,0
146,1,3,0.3333333333333333,4,6,23,0
147,1,1,1.0,2,4,12,0
148,2,3,0.6666666666666666,6,6,129,0
149,0,2,0.0,1,5,126,0
150,8,6,1.3333333333333333,21,9,165,0
151,7,10,0.7,23,13,303,0
152,2,2,1.0,5,5,34,0
153,16,9,1.7777777777777777,40,12,223,0
154,10,11,0.9090909090909091,30,14,232,0
155,1,6,0.16666666666666666,7,9,51,0
156,7,3,2.3333333333333335,16,6,179,0
157,29,12,2.4166666666666665,69,15,416,0
158,1,1,1.0,2,4,109,0
159,17,3,5.666666666666667,36,6,183,0
160,40,10,4.0,89,13,450,0
161,6,0,inf,11,3,137,0
162,15,11,1.3636363636363635,40,14,187,0
163,3,8,0.375,13,11,103,0
164,6,4,1.5,15,7,82,0
165,3,2,1.5,7,5,50,0
166,40,4,10.0,83,7,455,0
167,1,0,inf,1,3,112,0
168,7,1,7.0,14,4,150,0
169,7,9,0.7777777777777778,22,12,182,0
170,3,3,1.0,8,6,163,0
171,8,3,2.6666666666666665,18,6,190,0
172,2,3,0.6666666666666666,6,6,152,0
173,3,0,inf,5,3,122,0
174,7,12,0.5833333333333334,25,15,177,0
175,10,11,0.9090909090909091,30,14,136,0
176,0,0,0.0,-1,3,101,0
177,3,3,1.0,8,6,62,0
178,0,3,0.0,2,6,26,0
179,13,11,1.1818181818181819,36,14,213,0
180,7,4,1.75,17,7,76,0
181,7,9,0.7777777777777778,22,12,146,0
182,16,18,0.8888888888888888,49,21,379,0
183,1,2,0.5,3,5,115,0
184,1,1,1.0,2,4,110,0
185,6,10,0.6,21,13,168,0
186,1,11,0.09090909090909091,12,14,333,0
187,1,7,0.14285714285714285,8,10,212,0
188,3,5,0.6,10,8,75,0
189,13,16,0.8125,41,19,244,0
190,3,4,0.75,9,7,143,0
191,7,11,0.6363636363636364,24,14,175,0
192,1,3,0.3333333333333333,4,6,34,0
193,2,4,0.5,7,7,39,0
194,2,1,2.0,4,4,114,0
195,0,1,0.0,0,4,12,0
196,2,5,0.4,8,8,144,0
197,6,6,1.0,17,9,84,0
198,1,12,0.08333333333333333,13,15,226,0
199,3,5,0.6,10,8,69,0
200,8,6,1.3333333333333333,21,9,216,0
201,4,16,0.25,23,19,281,0
202,1,1,1.0,2,4,12,0
203,9,11,0.8181818181818182,28,14,115,0
204,19,19,1.0,56,22,430,0
205,2,8,0.25,11,11,228,0
206,6,3,2.0,14,6,79,0
207,0,2,0.0,1,5,16,0
208,6,8,0.75,19,11,94,0
209,21,13,1.6153846153846154,54,16,332,0
210,0,3,0.0,2,6,38,0
211,10,8,1.25,27,11,143,0
212,16,14,1.1428571428571428,45,17,291,0
213,5,10,0.5,19,13,89,0
214,8,8,1.0,23,11,136,0
215,6,5,1.2,16,8,119,0
216,3,7,0.42857142857142855,12,10,106,0
217,9,11,0.8181818181818182,28,14,168,0
218,4,3,1.3333333333333333,10,6,64,0
219,1,12,0.08333333333333333,13,15,121,0
220,3,4,0.75,9,7,194,0
221,1,0,inf,1,3,11,0
222,5,0,inf,9,3,44,0
223,5,0,inf,9,3,132,0
224,3,3,1.0,8,6,51,0
225,4,9,0.4444444444444444,16,12,105,0
226,16,5,3.2,36,8,332,0
227,4,14,0.2857142857142857,21,17,318,0
228,2,5,0.4,8,8,68,0
229,3,4,0.75,9,7,154,0
230,7,8,0.875,21,11,111,0
231,4,0,inf,7,3,128,0
232,0,3,0.0,2,6,123,0
233,18,13,1.3846153846153846,48,16,372,0
234,23,11,2.090909090909091,56,14,272,0
235,6,5,1.2,16,8,57,0
236,13,15,0.8666666666666667,40,18,265,0
237,22,10,2.2,53,13,493,0
238,42,10,4.2,93,13,617,0
239,10,5,2.0,24,8,192,0
240,6,5,1.2,16,8,88,0
241,9,9,1.0,26,12,172,0
242,19,9,2.111111111111111,46,12,380,0
243,17,8,2.125,41,11,314,0
244,7,11,0.6363636363636364,24,14,174,0
245,8,6,1.3333333333333333,21,9,116,0
246,10,11,0.9090909090909091,30,14,167,0
247,0,7,0.0,6,10,175,0
248,10,8,1.25,27,11,124,0
249,12,8,1.5,31,11,170,0
250,10,10,1.0,29,13,256,0
251,5,8,0.625,17,11,208,0
252,12,12,1.0,35,15,272,0
253,26,10,2.6,61,13,403,0
254,2,11,0.18181818181818182,14,14,223,0
255,18,14,1.2857142857142858,49,17,289,0
256,24,9,2.6666666666666665,56,12,339,0
257,30,12,2.5,71,15,504,0
258,9,6,1.5,23,9,150,0
259,2,4,0.5,7,7,139,0
260,3,6,0.5,11,9,46,0
261,4,0,inf,7,3,121,0
262,2,2,1.0,5,5,131,0
263,5,5,1.0,14,8,127,0
264,8,0,inf,15,3,154,0
265,10,4,2.5,23,7,224,0
266,0,2,0.0,1,5,14,0
267,11,5,2.2,26,8,160,0
268,1,1,1.0,2,4,32,0
269,9,3,3.0,20,6,110,0
270,17,9,1.8888888888888888,42,12,240,0
271,14,6,2.3333333333333335,33,9,194,0
272,10,8,1.25,27,11,291,0
273,8,7,1.1428571428571428,22,10,219,0
274,8,16,0.5,31,19,276,0
275,7,13,0.5384615384615384,26,16,187,0
276,0,2,0.0,1,5,116,0
277,9,3,3.0,20,6,236,0
278,2,8,0.25,11,11,147,0
279,14,13,1.0769230769230769,40,16,309,0
280,7,12,0.5833333333333334,25,15,234,0
281,2,2,1.0,5,5,131,0
282,2,5,0.4,8,8,133,0
283,8,7,1.1428571428571428,22,10,155,0
284,1,3,0.3333333333333333,4,6,124,0
285,9,4,2.25,21,7,107,0
286,11,11,1.0,32,14,285,0
287,2,4,0.5,7,7,46,0
288,12,9,1.3333333333333333,32,12,163,0
289,10,3,3.3333333333333335,22,6,198,0
290,8,7,1.1428571428571428,22,10,181,0
291,4,5,0.8,12,8,63,0
292,0,3,0.0,2,6,115,0
293,25,7,3.5714285714285716,56,10,352,0
294,6,2,3.0,13,5,156,0
295,14,11,1.2727272727272727,38,14,291,0
296,14,23,0.6086956521739131,50,26,293,0
297,16,11,1.4545454545454546,42,14,298,0
298,11,6,1.8333333333333333,27,9,122,0
299,23,7,3.2857142857142856,52,10,350,0
300,12,5,2.4,28,8,128,0
301,8,9,0.8888888888888888,24,12,112,0
302,17,10,1.7,43,13,243,0
303,3,2,1.5,7,5,123,0
304,2,3,0.6666666666666666,6,6,134,0
305,3,1,3.0,6,4,129,0
306,12,5,2.4,28,8,197,0
307,9,6,1.5,23,9,225,0
308,4,10,0.4,17,13,154,0
309,48,6,8.0,101,9,704,0
310,1,3,0.3333333333333333,4,6,29,0
311,5,12,0.4166666666666667,21,15,140,0
312,7,2,3.5,15,5,179,0
313,3,0,inf,5,3,125,0
314,5,12,0.4166666666666667,21,15,292,0
315,10,9,1.1111111111111112,28,12,291,0
316,4,5,0.8,12,8,177,0
317,8,9,0.8888888888888888,24,12,118,0
318,16,8,2.0,39,11,200,0
319,6,9,0.6666666666666666,20,12,163,0
320,0,2,0.0,1,5,18,0
321,0,1,0.0,0,4,105,0
322,1,6,0.16666666666666666,7,9,78,0
323,5,6,0.8333333333333334,15,9,93,0
324,7,6,1.1666666666666667,19,9,128,0
325,7,2,3.5,15,5,77,0
326,0,9,0.0,8,12,81,0
