Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,1,6,0.16666666666666666,9,9,64,0
1,3,14,0.21428571428571427,25,17,169,0
2,8,5,1.6,36,8,97,0
3,2,8,0.25,15,11,87,0
4,2,2,1.0,9,5,44,0
5,7,11,0.6363636363636364,38,14,170,0
6,6,16,0.375,39,19,205,0
7,13,8,1.625,59,11,168,0
8,13,14,0.9285714285714286,65,17,232,0
9,2,15,0.13333333333333333,22,18,144,0
10,3,3,1.0,14,6,38,0
11,12,8,1.5,55,11,153,0
12,4,10,0.4,25,13,135,0
13,12,14,0.8571428571428571,61,17,230,0
14,12,9,1.3333333333333333,56,12,234,0
15,14,13,1.0769230769230769,68,16,196,0
16,2,10,0.2,17,13,99,0
17,1,10,0.1,13,13,128,0
18,5,12,0.4166666666666667,31,15,146,0
19,1,15,0.06666666666666667,18,18,224,0
20,2,11,0.18181818181818182,18,14,140,0
21,6,8,0.75,31,11,159,0
22,4,14,0.2857142857142857,29,17,145,0
23,9,12,0.75,47,15,215,0
24,6,10,0.6,33,13,122,0
25,10,5,2.0,44,8,128,0
26,1,7,0.14285714285714285,10,10,102,0
27,1,7,0.14285714285714285,10,10,58,0
28,28,10,2.8,121,13,373,0
29,5,16,0.3125,35,19,141,0
30,6,11,0.5454545454545454,34,14,119,0
31,7,5,1.4,32,8,126,0
32,6,4,1.5,27,7,110,0
33,0,22,0.0,21,25,207,0
34,3,6,0.5,17,9,90,0
35,67,10,6.7,277,13,612,0
36,5,6,0.8333333333333334,25,9,88,0
37,4,3,1.3333333333333333,18,6,142,0
38,15,8,1.875,67,11,261,0
39,14,16,0.875,71,19,280,0
40,5,9,0.5555555555555556,28,12,116,0
41,11,12,0.9166666666666666,55,15,281,0
42,9,15,0.6,50,18,308,0
43,11,2,5.5,45,5,117,0
44,16,5,3.2,68,8,288,0
45,1,14,0.07142857142857142,17,17,136,0
46,0,3,0.0,2,6,50,0
47,5,8,0.625,27,11,88,0
48,4,7,0.5714285714285714,22,10,103,0
49,14,9,1.5555555555555556,64,12,195,0
50,13,13,1.0,64,16,205,0
51,6,4,1.5,27,7,81,0
52,1,2,0.5,5,5,13,0
53,15,10,1.5,69,13,353,0
54,2,18,0.1111111111111111,25,21,211,0
55,2,9,0.2222222222222222,16,12,89,0
56,2,19,0.10526315789473684,26,22,196,0
57,2,14,0.14285714285714285,21,17,151,0
58,3,2,1.5,13,5,152,0
59,21,23,0.9130434782608695,106,26,452,0
60,10,6,1.6666666666666667,45,9,141,0
61,34,16,2.125,151,19,490,0
62,8,12,0.6666666666666666,43,15,148,0
63,15,7,2.142857142857143,66,10,281,0
64,17,17,1.0,84,20,294,0
65,3,3,1.0,14,6,159,0
66,13,6,2.1666666666666665,57,9,150,0
67,3,3,1.0,14,6,144,0
68,5,5,1.0,24,8,204,0
69,6,16,0.375,39,19,196,0
70,29,9,3.2222222222222223,124,12,351,0
71,6,13,0.46153846153846156,36,16,156,0
72,12,4,3.0,51,7,107,0
73,23,10,2.3,101,13,337,0
74,10,13,0.7692307692307693,52,16,311,0
75,22,9,2.4444444444444446,96,12,288,0
76,7,14,0.5,41,17,238,0
77,6,8,0.75,31,11,117,0
78,7,4,1.75,31,7,62,0
79,9,6,1.5,41,9,125,0
80,5,7,0.7142857142857143,26,10,89,0
81,16,25,0.64,88,28,361,0
82,50,2,25.0,201,5,631,0
83,8,4,2.0,35,7,231,0
84,2,7,0.2857142857142857,14,10,70,0
85,0,5,0.0,4,8,39,0
86,5,13,0.38461538461538464,32,16,172,0
87,4,6,0.6666666666666666,21,9,69,0
88,11,6,1.8333333333333333,49,9,226,0
89,2,17,0.11764705882352941,24,20,218,0
90,5,3,1.6666666666666667,22,6,82,0
91,1,15,0.06666666666666667,18,18,163,0
92,8,4,2.0,35,7,119,0
93,1,8,0.125,11,11,90,0
94,6,14,0.42857142857142855,37,17,178,0
95,5,23,0.21739130434782608,42,26,265,0
96,1,16,0.0625,19,19,179,0
97,4,23,0.17391304347826086,38,26,247,0
98,0,5,0.0,4,8,50,0
99,0,9,0.0,8,12,71,0
100,8,8,1.0,39,11,135,0
101,5,9,0.5555555555555556,28,12,120,0
102,0,11,0.0,10,14,113,0
103,5,7,0.7142857142857143,26,10,114,0
104,2,15,0.13333333333333333,22,18,151,0
105,4,9,0.4444444444444444,24,12,113,0
106,3,12,0.25,23,15,156,0
107,9,11,0.8181818181818182,46,14,169,0
108,2,13,0.15384615384615385,20,16,141,0
109,2,12,0.16666666666666666,19,15,106,0
110,7,3,2.3333333333333335,30,6,81,0
111,2,7,0.2857142857142857,14,10,81,0
