Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,1,0,inf,5,3,104,0
1,3,2,1.5,19,5,127,0
2,19,8,2.375,121,11,306,0
3,0,0,0.0,-1,3,101,0
4,2,0,inf,11,3,107,0
5,6,0,inf,35,3,167,0
6,1,0,inf,5,3,122,0
7,19,2,9.5,115,5,180,0
8,1,1,1.0,6,4,24,0
9,1,0,inf,5,3,10,0
10,3,1,3.0,18,4,131,0
11,2,4,0.5,15,7,163,0
12,1,2,0.5,7,5,19,0
13,19,0,inf,113,3,259,0
14,0,1,0.0,0,4,107,0
15,9,1,9.0,54,4,201,0
16,1,1,1.0,6,4,118,0
17,2,0,inf,11,3,119,0
18,4,3,1.3333333333333333,26,6,57,0
19,2,1,2.0,12,4,117,0
20,6,6,1.0,41,9,144,0
21,8,2,4.0,49,5,158,0
22,2,2,1.0,13,5,122,0
23,3,2,1.5,19,5,37,0
24,3,2,1.5,19,5,148,0
25,2,0,inf,11,3,106,0
26,2,2,1.0,13,5,42,0
27,15,9,1.6666666666666667,98,12,210,0
28,4,0,inf,23,3,125,0
29,8,4,2.0,51,7,106,0
30,11,5,2.2,70,8,196,0
31,2,2,1.0,13,5,121,0
32,4,1,4.0,24,4,145,0
33,22,6,3.6666666666666665,137,9,296,0
34,0,7,0.0,6,10,60,0
35,8,4,2.0,51,7,202,0
36,3,0,inf,17,3,134,0
37,0,0,0.0,-1,3,101,0
38,0,6,0.0,5,9,78,0
39,7,3,2.3333333333333335,44,6,180,0
40,1,1,1.0,6,4,112,0
41,4,0,inf,23,3,42,0
42,0,0,0.0,-1,3,101,0
43,5,2,2.5,31,5,151,0
44,38,0,inf,227,3,359,0
45,2,1,2.0,12,4,125,0
46,0,0,0.0,-1,3,101,0
47,6,6,1.0,41,9,222,0
48,4,0,inf,23,3,119,0
49,1,11,0.09090909090909091,16,14,112,0
50,3,6,0.5,23,9,53,0
51,3,0,inf,17,3,110,0
52,11,4,2.75,69,7,134,0
53,5,1,5.0,30,4,143,0
54,11,6,1.8333333333333333,71,9,153,0
55,10,14,0.7142857142857143,73,17,179,0
56,5,1,5.0,30,4,137,0
57,10,5,2.0,64,8,237,0
58,1,0,inf,5,3,109,0
59,11,0,inf,65,3,106,0
60,3,3,1.0,20,6,142,0
61,4,1,4.0,24,4,132,0
62,13,12,1.0833333333333333,89,15,271,0
63,1,0,inf,5,3,127,0
64,4,4,1.0,27,7,180,0
65,14,9,1.5555555555555556,92,12,207,0
66,18,6,3.0,113,9,189,0
67,4,1,4.0,24,4,162,0
68,2,6,0.3333333333333333,17,9,196,0
69,3,4,0.75,21,7,85,0
70,11,2,5.5,67,5,281,0
71,10,8,1.25,67,11,265,0
72,26,0,inf,155,3,365,0
73,2,2,1.0,13,5,38,0
74,9,0,inf,53,3,95,0
75,40,1,40.0,240,4,556,0
76,3,0,inf,17,3,119,0
77,5,0,inf,29,3,34,0
78,1,0,inf,5,3,106,0
79,0,0,0.0,-1,3,101,0
80,6,2,3.0,37,5,178,0
81,0,7,0.0,6,10,86,0
82,6,13,0.46153846153846156,48,16,188,0
83,10,1,10.0,60,4,196,0
84,3,1,3.0,18,4,151,0
85,4,1,4.0,24,4,177,0
86,3,3,1.0,20,6,131,0
87,1,3,0.3333333333333333,8,6,127,0
88,1,1,1.0,6,4,111,0
89,3,0,inf,17,3,144,0
90,0,0,0.0,-1,3,101,0
91,3,4,0.75,21,7,155,0
92,1,1,1.0,6,4,120,0
93,1,2,0.5,7,5,122,0
94,10,0,inf,59,3,232,0
95,0,2,0.0,1,5,110,0
96,11,5,2.2,70,8,168,0
97,20,3,6.666666666666667,122,6,191,0
98,6,1,6.0,36,4,154,0
99,0,4,0.0,3,7,124,0
100,1,1,1.0,6,4,118,0
101,6,4,1.5,39,7,193,0
102,15,0,inf,89,3,212,0
103,3,1,3.0,18,4,144,0
104,7,4,1.75,45,7,114,0
105,1,0,inf,5,3,107,0
106,2,1,2.0,12,4,20,0
107,1,1,1.0,6,4,112,0
108,1,4,0.25,9,7,46,0
109,1,1,1.0,6,4,26,0
110,0,1,0.0,0,4,108,0
111,13,0,inf,77,3,263,0
