Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,5,1,5.0,75,4,144,0
1,2,0,inf,29,3,119,0
2,0,6,0.0,5,9,158,0
3,9,2,4.5,136,5,205,0
4,3,3,1.0,47,6,68,0
5,7,2,3.5,106,5,80,0
6,5,1,5.0,75,4,169,0
7,2,0,inf,29,3,115,0
8,4,1,4.0,60,4,137,0
9,0,1,0.0,0,4,110,0
10,4,2,2.0,61,5,69,0
11,3,6,0.5,50,9,105,0
12,0,0,0.0,-1,3,101,0
13,1,0,inf,14,3,14,0
14,0,1,0.0,0,4,105,0
15,0,1,0.0,0,4,10,0
16,4,0,inf,59,3,132,0
17,8,9,0.8888888888888888,128,12,160,0
18,0,0,0.0,-1,3,101,0
19,2,1,2.0,30,4,114,0
20,10,2,5.0,151,5,194,0
21,4,1,4.0,60,4,140,0
22,2,0,inf,29,3,118,0
23,8,3,2.6666666666666665,122,6,81,0
24,0,0,0.0,-1,3,101,0
25,1,1,1.0,15,4,12,0
26,3,2,1.5,46,5,63,0
27,7,2,3.5,106,5,79,0
28,1,0,inf,14,3,10,0
29,11,3,3.6666666666666665,167,6,117,0
30,15,3,5.0,227,6,240,0
31,4,2,2.0,61,5,57,0
32,0,0,0.0,-1,3,101,0
33,2,3,0.6666666666666666,32,6,146,0
34,3,6,0.5,50,9,175,0
35,1,1,1.0,15,4,112,0
36,11,4,2.75,168,7,145,0
37,3,2,1.5,46,5,41,0
38,4,2,2.0,61,5,148,0
39,4,2,2.0,61,5,50,0
40,0,0,0.0,-1,3,101,0
41,2,2,1.0,31,5,47,0
42,1,1,1.0,15,4,118,0
43,1,1,1.0,15,4,32,0
44,1,1,1.0,15,4,20,0
45,5,3,1.6666666666666667,77,6,182,0
46,2,1,2.0,30,4,116,0
47,9,4,2.25,138,7,126,0
48,2,1,2.0,30,4,123,0
49,1,1,1.0,15,4,117,0
50,7,0,inf,104,3,149,0
51,1,2,0.5,16,5,28,0
52,7,3,2.3333333333333335,107,6,75,0
53,5,0,inf,74,3,136,0
54,2,4,0.5,33,7,174,0
55,2,0,inf,29,3,116,0
56,1,0,inf,14,3,107,0
57,6,2,3.0,91,5,175,0
58,7,1,7.0,105,4,150,0
59,1,0,inf,14,3,103,0
60,1,1,1.0,15,4,114,0
61,3,1,3.0,45,4,140,0
62,5,3,1.6666666666666667,77,6,87,0
63,2,1,2.0,30,4,135,0
64,4,3,1.3333333333333333,62,6,84,0
65,10,6,1.6666666666666667,155,9,228,0
66,9,5,1.8,139,8,196,0
67,3,1,3.0,45,4,146,0
68,3,3,1.0,47,6,55,0
69,3,0,inf,44,3,118,0
70,4,4,1.0,63,7,70,0
71,9,10,0.9,144,13,161,0
72,8,5,1.6,124,8,114,0
73,3,2,1.5,46,5,140,0
74,11,3,3.6666666666666665,167,6,129,0
75,1,0,inf,14,3,106,0
76,14,2,7.0,211,5,212,0
77,2,0,inf,29,3,117,0
78,1,2,0.5,16,5,27,0
79,11,0,inf,164,3,191,0
80,3,3,1.0,47,6,61,0
81,0,0,0.0,-1,3,101,0
82,11,8,1.375,172,11,157,0
83,4,0,inf,59,3,117,0
84,1,2,0.5,16,5,123,0
85,2,2,1.0,31,5,137,0
86,2,3,0.6666666666666666,32,6,79,0
87,7,4,1.75,108,7,208,0
88,1,1,1.0,15,4,116,0
89,10,8,1.25,157,11,198,0
90,10,9,1.1111111111111112,158,12,183,0
91,11,7,1.5714285714285714,171,10,124,0
92,10,2,5.0,151,5,104,0
93,4,0,inf,59,3,135,0
94,1,1,1.0,15,4,125,0
95,1,1,1.0,15,4,114,0
96,1,0,inf,14,3,105,0
97,0,0,0.0,-1,3,101,0
98,14,3,4.666666666666667,212,6,172,0
99,9,3,3.0,137,6,215,0
100,2,1,2.0,30,4,36,0
101,1,2,0.5,16,5,122,0
102,7,4,1.75,108,7,62,0
103,5,1,5.0,75,4,157,0
104,8,0,inf,119,3,155,0
105,7,3,2.3333333333333335,107,6,82,0
106,17,3,5.666666666666667,257,6,277,0
107,1,0,inf,14,3,116,0
108,3,4,0.75,48,7,160,0
109,0,0,0.0,-1,3,101,0
110,12,6,2.0,185,9,132,0
111,1,2,0.5,16,5,128,0
112,1,0,inf,14,3,116,0
113,0,1,0.0,0,4,105,0
114,1,1,1.0,15,4,126,0
115,11,1,11.0,165,4,214,0
116,0,0,0.0,-1,3,101,0
117,5,0,inf,74,3,144,0
118,2,0,inf,29,3,107,0
119,0,0,0.0,-1,3,101,0
120,0,0,0.0,-1,3,101,0
121,4,3,1.3333333333333333,62,6,67,0
122,5,2,2.5,76,5,144,0
123,8,2,4.0,121,5,169,0
124,0,0,0.0,-1,3,101,0
125,4,0,inf,59,3,145,0
126,4,2,2.0,61,5,45,0
127,0,0,0.0,-1,3,101,0
128,0,0,0.0,-1,3,101,0
129,7,0,inf,104,3,141,0
130,3,3,1.0,47,6,73,0
131,12,5,2.4,184,8,216,0
132,2,1,2.0,30,4,124,0
133,10,3,3.3333333333333335,152,6,218,0
134,5,4,1.25,78,7,179,0
135,0,0,0.0,-1,3,101,0
136,9,5,1.8,139,8,190,0
137,5,0,inf,74,3,124,0
138,9,6,1.5,140,9,235,0
139,10,6,1.6666666666666667,155,9,134,0
140,1,1,1.0,15,4,113,0
141,12,5,2.4,184,8,223,0
142,3,2,1.5,46,5,153,0
143,0,3,0.0,2,6,116,0
144,7,9,0.7777777777777778,113,12,264,0
145,2,1,2.0,30,4,114,0
146,1,2,0.5,16,5,129,0
147,9,9,1.0,143,12,194,0
148,1,1,1.0,15,4,111,0
149,4,4,1.0,63,7,69,0
150,2,4,0.5,33,7,170,0
151,0,0,0.0,-1,3,101,0
152,7,6,1.1666666666666667,110,9,199,0
153,17,5,3.4,259,8,270,0
154,2,1,2.0,30,4,123,0
155,11,8,1.375,172,11,167,0
156,0,0,0.0,-1,3,101,0
157,0,2,0.0,1,5,18,0
158,5,1,5.0,75,4,149,0
159,2,1,2.0,30,4,46,0
160,4,0,inf,59,3,122,0
161,10,4,2.5,153,7,236,0
162,1,0,inf,14,3,107,0
163,20,9,2.2222222222222223,308,12,271,0
164,12,7,1.7142857142857142,186,10,134,0
165,4,2,2.0,61,5,148,0
166,9,3,3.0,137,6,80,0
167,20,1,20.0,300,4,314,0
168,2,0,inf,29,3,118,0
169,9,0,inf,134,3,178,0
170,14,2,7.0,211,5,273,0
171,10,2,5.0,151,5,105,0
172,0,1,0.0,0,4,102,0
173,0,0,0.0,-1,3,101,0
174,3,5,0.6,49,8,66,0
175,4,5,0.8,64,8,98,0
176,13,0,inf,194,3,194,0
177,17,1,17.0,255,4,220,0
178,3,0,inf,44,3,128,0
179,6,0,inf,89,3,134,0
180,8,3,2.6666666666666665,122,6,106,0
181,4,3,1.3333333333333333,62,6,84,0
182,9,4,2.25,138,7,156,0
183,5,5,1.0,79,8,189,0
184,10,1,10.0,150,4,207,0
185,2,0,inf,29,3,117,0
186,3,1,3.0,45,4,128,0
187,1,1,1.0,15,4,22,0
188,1,1,1.0,15,4,117,0
189,8,4,2.0,123,7,116,0
190,11,8,1.375,172,11,166,0
191,3,6,0.5,50,9,96,0
192,11,6,1.8333333333333333,170,9,102,0
193,10,0,inf,149,3,194,0
194,5,3,1.6666666666666667,77,6,69,0
195,6,3,2.0,92,6,88,0
196,10,0,inf,149,3,177,0
197,3,0,inf,44,3,133,0
198,14,5,2.8,214,8,238,0
199,3,2,1.5,46,5,56,0
200,13,1,13.0,195,4,200,0
201,4,2,2.0,61,5,151,0
202,3,0,inf,44,3,111,0
203,5,0,inf,74,3,172,0
204,15,2,7.5,226,5,248,0
205,0,0,0.0,-1,3,101,0
206,0,8,0.0,7,11,65,0
207,2,2,1.0,31,5,122,0
208,0,1,0.0,0,4,21,0
209,5,1,5.0,75,4,132,0
210,4,0,inf,59,3,131,0
211,10,1,10.0,150,4,189,0
212,10,2,5.0,151,5,204,0
213,11,6,1.8333333333333333,170,9,282,0
214,9,7,1.2857142857142858,141,10,113,0
215,0,1,0.0,0,4,107,0
216,7,1,7.0,105,4,159,0
217,3,5,0.6,49,8,78,0
218,0,0,0.0,-1,3,101,0
219,11,8,1.375,172,11,168,0
220,0,0,0.0,-1,3,101,0
221,0,6,0.0,5,9,87,0
222,3,7,0.42857142857142855,51,10,165,0
223,4,1,4.0,60,4,133,0
224,7,1,7.0,105,4,149,0
225,7,2,3.5,106,5,122,0
226,10,3,3.3333333333333335,152,6,198,0
227,8,0,inf,119,3,177,0
228,3,1,3.0,45,4,127,0
229,4,2,2.0,61,5,57,0
230,7,13,0.5384615384615384,117,16,219,0
231,11,4,2.75,168,7,146,0
232,2,1,2.0,30,4,117,0
233,4,0,inf,59,3,139,0
234,15,5,3.0,229,8,323,0
235,4,1,4.0,60,4,150,0
236,6,4,1.5,93,7,88,0
237,7,0,inf,104,3,151,0
238,1,0,inf,14,3,106,0
239,0,0,0.0,-1,3,101,0
240,9,6,1.5,140,9,132,0
241,1,7,0.14285714285714285,21,10,81,0
242,5,4,1.25,78,7,115,0
243,3,4,0.75,48,7,142,0
244,4,3,1.3333333333333333,62,6,56,0
245,3,1,3.0,45,4,128,0
246,0,0,0.0,-1,3,101,0
247,6,1,6.0,90,4,175,0
248,1,0,inf,14,3,106,0
249,0,1,0.0,0,4,110,0
250,9,3,3.0,137,6,196,0
251,4,3,1.3333333333333333,62,6,39,0
252,4,3,1.3333333333333333,62,6,161,0
253,2,8,0.25,37,11,74,0
254,3,1,3.0,45,4,144,0
255,1,0,inf,14,3,108,0
