Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,13,6,2.1666666666666665,70,9,153,0
1,30,6,5.0,155,9,294,0
2,24,11,2.1818181818181817,130,14,270,0
3,9,7,1.2857142857142858,51,10,127,0
4,3,4,0.75,18,7,58,0
5,6,5,1.2,34,8,83,0
6,1,1,1.0,5,4,120,0
7,14,1,14.0,70,4,127,0
8,10,5,2.0,54,8,107,0
9,3,0,inf,14,3,12,0
10,23,7,3.2857142857142856,121,10,202,0
11,1,3,0.3333333333333333,7,6,28,0
12,13,4,3.25,68,7,246,0
13,20,3,6.666666666666667,102,6,269,0
14,27,15,1.8,149,18,311,0
15,34,6,5.666666666666667,175,9,345,0
16,13,6,2.1666666666666665,70,9,144,0
17,23,5,4.6,119,8,270,0
18,0,1,0.0,0,4,116,0
19,8,0,inf,39,3,163,0
20,13,6,2.1666666666666665,70,9,145,0
21,8,6,1.3333333333333333,45,9,126,0
22,16,5,3.2,84,8,166,0
23,11,2,5.5,56,5,80,0
24,15,14,1.0714285714285714,88,17,248,0
25,3,0,inf,14,3,23,0
26,3,1,3.0,15,4,132,0
27,8,3,2.6666666666666665,42,6,89,0
28,4,2,2.0,21,5,127,0
29,24,3,8.0,122,6,207,0
30,12,0,inf,59,3,193,0
31,5,0,inf,24,3,128,0
32,4,3,1.3333333333333333,22,6,142,0
33,19,1,19.0,95,4,279,0
34,11,4,2.75,58,7,133,0
35,27,3,9.0,137,6,243,0
36,30,6,5.0,155,9,323,0
37,11,6,1.8333333333333333,60,9,148,0
38,4,5,0.8,24,8,93,0
39,10,3,3.3333333333333335,52,6,90,0
40,3,0,inf,14,3,116,0
41,8,4,2.0,43,7,81,0
42,3,2,1.5,16,5,35,0
43,10,4,2.5,53,7,134,0
44,0,0,0.0,-1,3,101,0
45,3,2,1.5,16,5,42,0
46,9,3,3.0,47,6,99,0
47,3,0,inf,14,3,33,0
48,1,2,0.5,6,5,27,0
49,14,3,4.666666666666667,72,6,262,0
50,3,2,1.5,16,5,132,0
51,18,9,2.0,98,12,243,0
52,2,2,1.0,11,5,28,0
53,6,2,3.0,31,5,157,0
54,3,0,inf,14,3,119,0
55,2,1,2.0,10,4,19,0
56,12,2,6.0,61,5,220,0
57,5,2,2.5,26,5,44,0
58,6,2,3.0,31,5,85,0
59,5,2,2.5,26,5,68,0
60,5,4,1.25,28,7,173,0
61,24,6,4.0,125,9,235,0
62,2,1,2.0,10,4,43,0
63,2,2,1.0,11,5,44,0
64,2,1,2.0,10,4,20,0
65,9,2,4.5,46,5,71,0
66,1,2,0.5,6,5,34,0
67,6,5,1.2,34,8,82,0
68,6,7,0.8571428571428571,36,10,94,0
69,6,2,3.0,31,5,74,0
70,0,0,0.0,-1,3,101,0
71,9,8,1.125,52,11,142,0
