Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,25,6,4.166666666666667,80,9,240,0
1,23,5,4.6,73,8,214,0
2,29,3,9.666666666666666,89,6,233,0
3,64,6,10.666666666666666,197,9,571,0
4,19,3,6.333333333333333,59,6,157,0
5,38,4,9.5,117,7,325,0
6,42,12,3.5,137,15,415,0
7,18,5,3.6,58,8,153,0
8,2,2,1.0,7,5,98,0
9,58,9,6.444444444444445,182,12,471,0
10,14,2,7.0,43,5,109,0
11,15,4,3.75,48,7,152,0
12,35,5,7.0,109,8,347,0
13,66,3,22.0,200,6,557,0
14,26,2,13.0,79,5,323,0
15,17,6,2.8333333333333335,56,9,148,0
16,30,4,7.5,93,7,248,0
17,5,5,1.0,19,8,67,0
18,18,3,6.0,56,6,145,0
19,7,5,1.4,25,8,76,0
20,32,9,3.5555555555555554,104,12,303,0
21,4,2,2.0,13,5,47,0
22,14,7,2.0,48,10,160,0
23,39,5,7.8,121,8,335,0
24,19,5,3.8,61,8,250,0
25,46,6,7.666666666666667,143,9,353,0
26,33,4,8.25,102,7,278,0
27,11,2,5.5,34,5,98,0
28,17,7,2.4285714285714284,57,10,133,0
29,28,7,4.0,90,10,236,0
30,28,9,3.111111111111111,92,12,313,0
31,28,4,7.0,87,7,259,0
32,38,3,12.666666666666666,116,6,355,0
33,35,6,5.833333333333333,110,9,353,0
34,22,6,3.6666666666666665,71,9,231,0
35,17,7,2.4285714285714284,57,10,170,0
36,26,6,4.333333333333333,83,9,272,0
37,6,4,1.5,21,7,62,0
38,32,5,6.4,100,8,320,0
39,47,6,7.833333333333333,146,9,404,0
40,6,2,3.0,19,5,52,0
41,11,2,5.5,34,5,92,0
42,56,3,18.666666666666668,170,6,422,0
43,13,3,4.333333333333333,41,6,118,0
44,32,0,inf,95,3,279,0
45,16,3,5.333333333333333,50,6,125,0
46,53,6,8.833333333333334,164,9,474,0
47,23,4,5.75,72,7,201,0
48,16,5,3.2,52,8,155,0
49,12,1,12.0,36,4,150,0
50,13,2,6.5,40,5,95,0
51,2,3,0.6666666666666666,8,6,97,0
52,0,0,0.0,-1,3,101,0
53,16,7,2.2857142857142856,54,10,159,0
