Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,23,8,2.875,76,11,207,0
1,10,3,3.3333333333333335,32,6,88,0
2,38,7,5.428571428571429,120,10,260,0
3,24,3,8.0,74,6,175,0
4,28,7,4.0,90,10,234,0
5,60,11,5.454545454545454,190,14,503,0
6,10,3,3.3333333333333335,32,6,90,0
7,21,8,2.625,70,11,176,0
8,2,1,2.0,6,4,17,0
9,35,3,11.666666666666666,107,6,249,0
10,56,13,4.3076923076923075,180,16,470,0
11,21,5,4.2,67,8,160,0
12,28,9,3.111111111111111,92,12,252,0
13,27,10,2.7,90,13,270,0
14,28,7,4.0,90,10,252,0
15,18,4,4.5,57,7,148,0
16,32,7,4.571428571428571,102,10,274,0
17,26,8,3.25,85,11,253,0
18,14,5,2.8,46,8,125,0
19,32,8,4.0,103,11,278,0
20,11,5,2.2,37,8,108,0
21,20,7,2.857142857142857,66,10,169,0
22,22,5,4.4,70,8,189,0
23,11,4,2.75,36,7,120,0
24,41,13,3.1538461538461537,135,16,352,0
25,1,0,inf,2,3,11,0
26,50,9,5.555555555555555,158,12,435,0
27,43,9,4.777777777777778,137,12,368,0
28,17,8,2.125,58,11,139,0
29,56,10,5.6,177,13,498,0
30,38,10,3.8,123,13,390,0
31,17,2,8.5,52,5,139,0
32,30,6,5.0,95,9,240,0
33,26,6,4.333333333333333,83,9,213,0
34,27,6,4.5,86,9,221,0
35,16,2,8.0,49,5,101,0
36,24,11,2.1818181818181817,82,14,237,0
37,34,10,3.4,111,13,309,0
38,29,5,5.8,91,8,224,0
39,41,11,3.727272727272727,133,14,374,0
40,49,10,4.9,156,13,480,0
41,19,6,3.1666666666666665,62,9,187,0
42,36,9,4.0,116,12,318,0
43,23,9,2.5555555555555554,77,12,231,0
44,12,7,1.7142857142857142,42,10,135,0
45,25,6,4.166666666666667,80,9,259,0
46,42,8,5.25,133,11,331,0
47,27,10,2.7,90,13,287,0
48,8,2,4.0,25,5,59,0
49,85,14,6.071428571428571,268,17,765,0
50,56,9,6.222222222222222,176,12,515,0
51,19,3,6.333333333333333,59,6,139,0
52,42,6,7.0,131,9,342,0
53,15,10,1.5,54,13,178,0
54,5,2,2.5,16,5,32,0
55,29,7,4.142857142857143,93,10,265,0
56,8,4,2.0,27,7,50,0
57,3,1,3.0,9,4,22,0
58,19,7,2.7142857142857144,63,10,177,0
59,29,6,4.833333333333333,92,9,189,0
60,5,5,1.0,19,8,66,0
61,13,5,2.6,43,8,100,0
62,21,10,2.1,72,13,212,0
63,15,2,7.5,46,5,123,0
64,20,3,6.666666666666667,62,6,151,0
65,26,7,3.7142857142857144,84,10,231,0
66,27,10,2.7,90,13,246,0
67,26,8,3.25,85,11,238,0
68,57,16,3.5625,186,19,466,0
69,25,6,4.166666666666667,80,9,187,0
70,22,7,3.142857142857143,72,10,250,0
71,60,12,5.0,191,15,506,0
72,28,12,2.3333333333333335,95,15,270,0
73,11,4,2.75,36,7,97,0
74,17,3,5.666666666666667,53,6,144,0
75,18,2,9.0,55,5,171,0
76,24,10,2.4,81,13,248,0
77,19,9,2.111111111111111,65,12,167,0
78,38,15,2.533333333333333,128,18,404,0
79,5,4,1.25,18,7,75,0
80,47,18,2.611111111111111,158,21,551,0
81,33,4,8.25,102,7,251,0
82,15,12,1.25,56,15,160,0
83,36,14,2.5714285714285716,121,17,347,0
84,17,5,3.4,55,8,139,0
85,28,10,2.8,93,13,278,0
86,40,9,4.444444444444445,128,12,346,0
87,17,6,2.8333333333333335,56,9,135,0
88,31,4,7.75,96,7,225,0
89,9,9,1.0,35,12,103,0
90,12,1,12.0,36,4,94,0
91,63,16,3.9375,204,19,531,0
92,29,7,4.142857142857143,93,10,283,0
93,22,4,5.5,69,7,175,0
94,31,7,4.428571428571429,99,10,266,0
95,7,2,3.5,22,5,60,0
96,31,5,6.2,97,8,252,0
97,37,9,4.111111111111111,119,12,370,0
98,49,6,8.166666666666666,152,9,421,0
99,11,3,3.6666666666666665,35,6,84,0
0,18,6,3.0,59,9,137,0
1,30,2,15.0,91,5,257,0
2,53,9,5.888888888888889,167,12,432,0
3,31,7,4.428571428571429,99,10,263,0
4,26,11,2.3636363636363638,88,14,255,0
5,28,9,3.111111111111111,92,12,269,0
6,34,7,4.857142857142857,108,10,320,0
7,16,6,2.6666666666666665,53,9,178,0
8,19,3,6.333333333333333,59,6,174,0
9,48,10,4.8,153,13,383,0
10,81,12,6.75,254,15,675,0
11,41,6,6.833333333333333,128,9,300,0
12,19,4,4.75,60,7,185,0
13,35,7,5.0,111,10,248,0
14,45,4,11.25,138,7,364,0
15,35,11,3.1818181818181817,115,14,354,0
16,36,13,2.769230769230769,120,16,329,0
17,14,8,1.75,49,11,135,0
18,25,8,3.125,82,11,224,0
19,10,5,2.0,34,8,88,0
20,23,6,3.8333333333333335,74,9,200,0
21,30,11,2.727272727272727,100,14,245,0
22,39,6,6.5,122,9,362,0
23,12,6,2.0,41,9,136,0
