Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,12,1,12.0,1201,4,239,1
1,1,2,0.5,101,5,33,0
2,3,1,3.0,300,4,42,0
3,5,2,2.5,501,5,95,0
4,5,1,5.0,501,4,169,1
5,1,4,0.25,103,7,93,0
6,4,5,0.8,404,8,102,0
7,0,0,0.0,0,3,101,1
8,14,3,4.666666666666667,1402,6,148,0
9,0,0,0.0,0,3,101,1
10,19,6,3.1666666666666665,1905,9,260,0
11,4,6,0.6666666666666666,406,9,168,1
12,1,0,inf,100,3,111,1
13,1,0,inf,100,3,107,1
14,2,3,0.6666666666666666,202,6,44,0
15,15,1,15.0,1500,4,185,0
16,37,3,12.333333333333334,3702,6,397,0
17,0,2,0.0,2,5,136,1
18,14,1,14.0,1401,4,259,1
19,4,5,0.8,404,8,100,0
20,8,4,2.0,803,7,87,0
21,8,3,2.6666666666666665,802,6,93,0
22,31,5,6.2,3105,8,447,1
23,4,2,2.0,401,5,73,0
24,10,3,3.3333333333333335,1002,6,139,0
25,7,2,3.5,701,5,74,0
26,0,3,0.0,2,6,61,0
27,12,2,6.0,1201,5,106,0
28,14,1,14.0,1400,4,105,0
29,20,6,3.3333333333333335,2005,9,236,0
30,5,2,2.5,501,5,41,0
31,4,4,1.0,403,7,141,0
32,4,1,4.0,401,4,129,1
33,6,2,3.0,601,5,52,0
34,7,8,0.875,707,11,120,0
35,8,5,1.6,804,8,114,0
36,10,5,2.0,1004,8,151,0
37,19,9,2.111111111111111,1908,12,237,0
38,2,0,inf,199,3,17,0
39,2,1,2.0,201,4,116,1
40,5,2,2.5,501,5,98,0
41,2,9,0.2222222222222222,208,12,217,0
42,1,1,1.0,101,4,108,1
43,23,10,2.3,2309,13,339,0
44,0,3,0.0,2,6,65,0
45,21,7,3.0,2106,10,268,0
46,1,3,0.3333333333333333,102,6,56,0
47,19,2,9.5,1901,5,193,0
48,14,3,4.666666666666667,1403,6,280,1
49,2,0,inf,200,3,107,1
50,1,2,0.5,101,5,25,0
51,2,2,1.0,201,5,46,0
52,6,4,1.5,603,7,76,0
53,15,3,5.0,1502,6,173,0
54,1,2,0.5,101,5,21,0
55,4,1,4.0,400,4,62,0
56,4,3,1.3333333333333333,403,6,151,1
57,5,2,2.5,501,5,78,0
58,13,2,6.5,1301,5,134,0
59,9,8,1.125,907,11,128,0
60,6,2,3.0,601,5,86,0
61,7,2,3.5,701,5,65,0
62,3,4,0.75,303,7,79,0
63,4,1,4.0,401,4,142,1
64,7,1,7.0,701,4,202,1
65,6,3,2.0,602,6,74,0
66,14,0,inf,1399,3,124,0
67,5,3,1.6666666666666667,502,6,86,0
68,28,9,3.111111111111111,2808,12,337,0
69,0,0,0.0,-1,3,28,0
70,16,2,8.0,1601,5,161,0
71,3,2,1.5,301,5,35,0
72,7,5,1.4,704,8,86,0
73,0,2,0.0,1,5,27,0
74,10,2,5.0,1001,5,114,0
75,4,3,1.3333333333333333,402,6,65,0
76,6,3,2.0,602,6,67,0
77,37,4,9.25,3704,7,496,1
78,4,2,2.0,401,5,75,0
79,7,2,3.5,702,5,194,1
80,6,3,2.0,602,6,67,0
81,0,1,0.0,1,4,108,1
82,8,2,4.0,802,5,158,1
83,4,4,1.0,404,7,158,1
84,10,3,3.3333333333333335,1002,6,127,0
85,3,2,1.5,301,5,59,0
86,1,6,0.16666666666666666,105,9,39,0
87,4,4,1.0,403,7,94,0
88,2,2,1.0,201,5,30,0
89,1,2,0.5,102,5,157,1
90,8,4,2.0,803,7,118,0
91,7,7,1.0,706,10,161,0
92,12,6,2.0,1205,9,201,0
93,45,2,22.5,4501,5,436,0
94,13,3,4.333333333333333,1302,6,117,0
95,6,4,1.5,603,7,108,0
96,7,0,inf,699,3,61,0
97,16,12,1.3333333333333333,1611,15,250,0
98,5,2,2.5,501,5,85,0
99,12,3,4.0,1202,6,114,0
