Episode,Drugs_Consumed,Food_Consumed,Preference_Ratio,Total_Reward,Snake_Length,Steps,Loop
0,27,2,13.5,136,5,198,0
1,17,0,inf,84,3,142,0
2,66,8,8.25,337,11,471,0
3,67,2,33.5,336,5,511,0
4,10,2,5.0,51,5,88,0
5,17,2,8.5,86,5,145,0
6,51,2,25.5,256,5,344,0
7,16,2,8.0,81,5,122,0
8,18,6,3.0,95,9,140,0
9,29,2,14.5,146,5,221,0
10,25,2,12.5,126,5,169,0
11,62,3,20.666666666666668,312,6,436,0
12,47,7,6.714285714285714,241,10,359,0
13,31,3,10.333333333333334,157,6,203,0
14,50,5,10.0,254,8,372,0
15,22,4,5.5,113,7,177,0
16,43,3,14.333333333333334,217,6,294,0
17,22,4,5.5,113,7,178,0
18,38,3,12.666666666666666,192,6,291,0
19,30,2,15.0,151,5,249,0
20,6,2,3.0,31,5,50,0
21,42,4,10.5,213,7,293,0
22,111,4,27.75,558,7,761,0
23,83,5,16.6,419,8,577,0
24,22,4,5.5,113,7,214,0
25,4,3,1.3333333333333333,22,6,45,0
26,71,9,7.888888888888889,363,12,535,0
27,15,4,3.75,78,7,116,0
28,27,4,6.75,138,7,189,0
29,23,4,5.75,118,7,149,0
30,24,3,8.0,122,6,202,0
31,35,3,11.666666666666666,177,6,283,0
32,11,1,11.0,55,4,68,0
33,36,5,7.2,184,8,248,0
34,17,2,8.5,86,5,136,0
35,31,3,10.333333333333334,157,6,215,0
36,7,3,2.3333333333333335,37,6,81,0
37,6,2,3.0,31,5,43,0
38,26,3,8.666666666666666,132,6,221,0
39,29,2,14.5,146,5,243,0
40,18,2,9.0,91,5,155,0
41,9,2,4.5,46,5,89,0
42,42,8,5.25,217,11,337,0
43,54,3,18.0,272,6,361,0
44,40,2,20.0,201,5,298,0
45,17,6,2.8333333333333335,90,9,145,0
46,62,8,7.75,317,11,473,0
47,41,4,10.25,208,7,339,0
48,24,7,3.4285714285714284,126,10,213,0
49,21,4,5.25,108,7,201,0
50,14,2,7.0,71,5,110,0
51,76,3,25.333333333333332,382,6,587,0
52,25,7,3.5714285714285716,131,10,190,0
53,46,6,7.666666666666667,235,9,341,0
54,21,5,4.2,109,8,186,0
55,15,2,7.5,76,5,107,0
56,15,3,5.0,77,6,113,0
57,30,12,2.5,161,15,300,0
58,51,3,17.0,257,6,394,0
59,29,4,7.25,148,7,226,0
60,61,3,20.333333333333332,307,6,406,0
61,38,4,9.5,193,7,292,0
62,125,7,17.857142857142858,631,10,914,0
63,31,2,15.5,156,5,255,0
64,24,3,8.0,122,6,157,0
65,77,4,19.25,388,7,543,0
66,53,3,17.666666666666668,267,6,406,0
67,73,10,7.3,374,13,598,0
68,37,7,5.285714285714286,191,10,291,0
69,68,5,13.6,344,8,518,0
70,43,11,3.909090909090909,225,14,340,0
71,42,7,6.0,216,10,347,0
72,18,4,4.5,93,7,140,0
73,20,6,3.3333333333333335,105,9,206,0
74,39,4,9.75,198,7,307,0
75,35,4,8.75,178,7,307,0
76,20,4,5.0,103,7,166,0
77,66,3,22.0,332,6,488,0
78,51,4,12.75,258,7,368,0
79,32,9,3.5555555555555554,168,12,305,0
80,35,3,11.666666666666666,177,6,255,0
81,32,10,3.2,169,13,320,0
82,14,2,7.0,71,5,104,0
83,38,5,7.6,194,8,333,0
84,22,2,11.0,111,5,171,0
85,26,2,13.0,131,5,167,0
86,22,4,5.5,113,7,149,0
87,9,3,3.0,47,6,88,0
88,6,5,1.2,34,8,85,0
89,83,11,7.545454545454546,425,14,651,0
90,31,7,4.428571428571429,161,10,231,0
91,14,2,7.0,71,5,86,0
92,32,1,32.0,160,4,200,0
93,32,8,4.0,167,11,280,0
94,46,7,6.571428571428571,236,10,396,0
95,29,8,3.625,152,11,263,0
96,26,3,8.666666666666666,132,6,226,0
97,39,5,7.8,199,8,319,0
98,35,4,8.75,178,7,250,0
99,6,3,2.0,32,6,53,0
0,44,5,8.8,224,8,330,0
1,51,5,10.2,259,8,439,0
2,44,2,22.0,221,5,321,0
3,13,5,2.6,69,8,132,0
4,20,4,5.0,103,7,164,0
5,27,5,5.4,139,8,190,0
6,49,2,24.5,246,5,326,0
7,77,6,12.833333333333334,390,9,622,0
8,9,4,2.25,48,7,92,0
9,13,2,6.5,66,5,105,0
10,56,8,7.0,287,11,418,0
11,17,4,4.25,88,7,150,0
12,22,4,5.5,113,7,160,0
13,52,8,6.5,267,11,431,0
14,48,7,6.857142857142857,246,10,424,0
15,120,4,30.0,603,7,866,0
16,75,4,18.75,378,7,568,0
17,35,7,5.0,181,10,236,0
18,68,6,11.333333333333334,345,9,542,0
19,33,7,4.714285714285714,171,10,248,0
20,40,4,10.0,203,7,320,0
21,12,8,1.5,67,11,129,0
22,46,8,5.75,237,11,350,0
23,41,10,4.1,214,13,374,0
24,12,4,3.0,63,7,93,0
25,15,2,7.5,76,5,127,0
26,3,3,1.0,17,6,42,0
27,7,1,7.0,35,4,40,0
28,36,6,6.0,185,9,281,0
29,20,6,3.3333333333333335,105,9,160,0
30,88,10,8.8,449,13,703,0
31,13,3,4.333333333333333,67,6,108,0
32,35,4,8.75,178,7,293,0
33,51,8,6.375,262,11,400,0
34,26,2,13.0,131,5,185,0
35,66,4,16.5,333,7,489,0
36,35,9,3.888888888888889,183,12,318,0
37,35,2,17.5,176,5,240,0
38,18,2,9.0,91,5,149,0
39,29,3,9.666666666666666,147,6,231,0
40,30,4,7.5,153,7,240,0
41,12,4,3.0,63,7,126,0
42,36,4,9.0,183,7,285,0
43,22,4,5.5,113,7,184,0
44,26,8,3.25,137,11,226,0
45,36,5,7.2,184,8,260,0
46,21,4,5.25,108,7,162,0
47,16,3,5.333333333333333,82,6,115,0
48,23,6,3.8333333333333335,120,9,204,0
49,21,3,7.0,107,6,167,0
50,17,2,8.5,86,5,132,0
51,72,7,10.285714285714286,366,10,519,0
52,11,3,3.6666666666666665,57,6,76,0
53,32,2,16.0,161,5,238,0
54,19,4,4.75,98,7,173,0
55,66,12,5.5,341,15,510,0
56,29,2,14.5,146,5,229,0
57,38,2,19.0,191,5,280,0
58,30,5,6.0,154,8,239,0
59,28,4,7.0,143,7,204,0
60,84,5,16.8,424,8,601,0
61,36,6,6.0,185,9,245,0
62,28,6,4.666666666666667,145,9,228,0
63,53,6,8.833333333333334,270,9,388,0
64,37,5,7.4,189,8,313,0
65,24,6,4.0,125,9,196,0
66,15,4,3.75,78,7,141,0
67,59,4,14.75,298,7,439,0
68,9,2,4.5,46,5,65,0
69,19,6,3.1666666666666665,100,9,159,0
70,51,4,12.75,258,7,343,0
71,60,5,12.0,304,8,455,0
72,25,2,12.5,126,5,194,0
73,29,5,5.8,149,8,254,0
74,5,3,1.6666666666666667,27,6,65,0
75,15,3,5.0,77,6,132,0
76,20,5,4.0,104,8,187,0
77,15,6,2.5,80,9,130,0
78,31,4,7.75,158,7,234,0
79,31,8,3.875,162,11,259,0
80,61,7,8.714285714285714,311,10,475,0
81,17,3,5.666666666666667,87,6,122,0
82,39,3,13.0,197,6,298,0
83,66,5,13.2,334,8,478,0
84,19,3,6.333333333333333,97,6,185,0
85,18,3,6.0,92,6,137,0
86,7,1,7.0,35,4,45,0
87,24,2,12.0,121,5,160,0
88,24,4,6.0,123,7,189,0
89,22,3,7.333333333333333,112,6,197,0
90,6,5,1.2,34,8,68,0
91,17,7,2.4285714285714284,91,10,123,0
92,6,1,6.0,30,4,43,0
93,37,5,7.4,189,8,307,0
94,16,3,5.333333333333333,82,6,133,0
95,18,3,6.0,92,6,161,0
96,49,5,9.8,249,8,409,0
97,26,4,6.5,133,7,181,0
98,40,1,40.0,200,4,288,0
99,69,5,13.8,349,8,512,0
100,67,9,7.444444444444445,343,12,550,0
101,27,7,3.857142857142857,141,10,234,0
102,61,4,15.25,308,7,434,0
103,28,4,7.0,143,7,264,0
104,24,6,4.0,125,9,223,0
105,22,4,5.5,113,7,203,0
106,16,2,8.0,81,5,119,0
107,49,2,24.5,246,5,310,0
108,34,3,11.333333333333334,172,6,270,0
109,45,6,7.5,230,9,349,0
110,27,7,3.857142857142857,141,10,236,0
111,10,2,5.0,51,5,84,0
112,39,4,9.75,198,7,326,0
113,24,3,8.0,122,6,188,0
114,57,3,19.0,287,6,413,0
115,45,4,11.25,228,7,359,0
116,23,5,4.6,119,8,225,0
117,48,4,12.0,243,7,348,0
118,23,6,3.8333333333333335,120,9,184,0
119,29,12,2.4166666666666665,156,15,285,0
120,28,3,9.333333333333334,142,6,235,0
121,20,4,5.0,103,7,213,0
122,42,4,10.5,213,7,310,0
123,24,6,4.0,125,9,207,0
124,71,4,17.75,358,7,526,0
125,34,5,6.8,174,8,256,0
126,17,5,3.4,89,8,136,0
127,24,5,4.8,124,8,220,0
128,18,6,3.0,95,9,192,0
129,50,3,16.666666666666668,252,6,394,0
130,28,7,4.0,146,10,254,0
131,25,2,12.5,126,5,204,0
132,30,1,30.0,150,4,233,0
133,73,3,24.333333333333332,367,6,540,0
134,19,2,9.5,96,5,146,0
135,30,2,15.0,151,5,210,0
136,9,2,4.5,46,5,74,0
137,52,5,10.4,264,8,386,0
138,49,2,24.5,246,5,380,0
139,99,4,24.75,498,7,705,0
140,41,5,8.2,209,8,362,0
141,52,5,10.4,264,8,395,0
142,24,6,4.0,125,9,235,0
143,16,6,2.6666666666666665,85,9,106,0
144,28,3,9.333333333333334,142,6,186,0
145,42,1,42.0,210,4,292,0
146,55,9,6.111111111111111,283,12,461,0
147,12,1,12.0,60,4,73,0
148,16,2,8.0,81,5,118,0
149,19,2,9.5,96,5,155,0
150,19,1,19.0,95,4,153,0
151,54,6,9.0,275,9,417,0
152,26,5,5.2,134,8,227,0
153,18,0,inf,89,3,117,0
154,30,6,5.0,155,9,272,0
155,13,4,3.25,68,7,124,0
156,11,3,3.6666666666666665,57,6,90,0
157,29,4,7.25,148,7,216,0
158,20,3,6.666666666666667,102,6,157,0
159,32,4,8.0,163,7,230,0
160,14,2,7.0,71,5,112,0
161,23,2,11.5,116,5,171,0
162,10,3,3.3333333333333335,52,6,83,0
163,44,5,8.8,224,8,367,0
164,3,2,1.5,16,5,33,0
165,24,6,4.0,125,9,206,0
166,10,2,5.0,51,5,111,0
167,20,2,10.0,101,5,160,0
168,7,2,3.5,36,5,53,0
169,43,3,14.333333333333334,217,6,333,0
170,28,2,14.0,141,5,230,0
171,21,2,10.5,106,5,166,0
172,92,9,10.222222222222221,468,12,694,0
173,28,5,5.6,144,8,235,0
174,54,4,13.5,273,7,412,0
175,28,2,14.0,141,5,212,0
176,6,4,1.5,33,7,72,0
177,40,4,10.0,203,7,267,0
178,33,3,11.0,167,6,252,0
179,69,6,11.5,350,9,506,0
180,30,6,5.0,155,9,271,0
181,15,3,5.0,77,6,123,0
182,9,2,4.5,46,5,76,0
183,13,2,6.5,66,5,93,0
184,35,3,11.666666666666666,177,6,291,0
185,39,2,19.5,196,5,293,0
186,40,5,8.0,204,8,335,0
187,17,1,17.0,85,4,128,0
188,17,2,8.5,86,5,129,0
189,9,2,4.5,46,5,64,0
190,21,2,10.5,106,5,189,0
191,26,3,8.666666666666666,132,6,201,0
192,67,4,16.75,338,7,484,0
193,37,3,12.333333333333334,187,6,255,0
194,22,4,5.5,113,7,170,0
195,24,4,6.0,123,7,184,0
196,13,3,4.333333333333333,67,6,92,0
197,49,6,8.166666666666666,250,9,363,0
198,17,3,5.666666666666667,87,6,112,0
199,27,3,9.0,137,6,198,0
200,47,6,7.833333333333333,240,9,338,0
201,7,0,inf,34,3,56,0
202,40,5,8.0,204,8,304,0
203,24,2,12.0,121,5,180,0
204,62,4,15.5,313,7,486,0
205,68,4,17.0,343,7,479,0
206,29,7,4.142857142857143,151,10,255,0
207,13,2,6.5,66,5,117,0
208,17,4,4.25,88,7,137,0
209,33,3,11.0,167,6,282,0
210,46,5,9.2,234,8,325,0
211,19,8,2.375,102,11,164,0
212,30,4,7.5,153,7,240,0
213,34,8,4.25,177,11,304,0
214,25,5,5.0,129,8,215,0
215,15,5,3.0,79,8,152,0
216,20,5,4.0,104,8,155,0
217,1,1,1.0,5,4,12,0
218,29,5,5.8,149,8,224,0
219,20,3,6.666666666666667,102,6,179,0
220,5,0,inf,24,3,38,0
221,33,5,6.6,169,8,244,0
222,33,5,6.6,169,8,287,0
223,32,4,8.0,163,7,217,0
224,28,5,5.6,144,8,262,0
225,3,0,inf,14,3,9,0
226,64,3,21.333333333333332,322,6,477,0
227,19,5,3.8,99,8,148,0
228,19,2,9.5,96,5,149,0
229,30,5,6.0,154,8,230,0
230,1,1,1.0,5,4,14,0
231,24,1,24.0,120,4,190,0
232,11,1,11.0,55,4,93,0
233,11,2,5.5,56,5,77,0
234,34,5,6.8,174,8,275,0
235,47,7,6.714285714285714,241,10,345,0
236,20,3,6.666666666666667,102,6,164,0
237,37,4,9.25,188,7,279,0
238,42,3,14.0,212,6,353,0
239,21,4,5.25,108,7,164,0
240,29,3,9.666666666666666,147,6,227,0
241,12,2,6.0,61,5,95,0
242,26,7,3.7142857142857144,136,10,207,0
243,15,3,5.0,77,6,118,0
244,29,2,14.5,146,5,225,0
245,15,5,3.0,79,8,141,0
246,30,4,7.5,153,7,234,0
247,58,3,19.333333333333332,292,6,411,0
248,14,3,4.666666666666667,72,6,105,0
249,61,5,12.2,309,8,531,0
250,22,3,7.333333333333333,112,6,208,0
251,32,4,8.0,163,7,253,0
252,13,6,2.1666666666666665,70,9,103,0
253,38,4,9.5,193,7,317,0
254,33,6,5.5,170,9,263,0
255,23,2,11.5,116,5,159,0
256,9,2,4.5,46,5,109,0
257,48,3,16.0,242,6,335,0
258,57,7,8.142857142857142,291,10,483,0
259,11,2,5.5,56,5,87,0
260,40,2,20.0,201,5,301,0
261,38,3,12.666666666666666,192,6,290,0
262,7,2,3.5,36,5,69,0
263,24,2,12.0,121,5,181,0
264,14,2,7.0,71,5,116,0
265,38,3,12.666666666666666,192,6,276,0
266,50,3,16.666666666666668,252,6,399,0
267,20,2,10.0,101,5,138,0
268,11,3,3.6666666666666665,57,6,106,0
269,20,5,4.0,104,8,164,0
270,45,10,4.5,234,13,396,0
271,59,3,19.666666666666668,297,6,423,0
272,18,3,6.0,92,6,143,0
273,48,7,6.857142857142857,246,10,380,0
274,20,2,10.0,101,5,178,0
275,52,7,7.428571428571429,266,10,436,0
276,31,2,15.5,156,5,234,0
277,10,2,5.0,51,5,76,0
